ENSG	most_tx
ENSG00000041357	ENST00000559082
ENSG00000041515	ENST00000356711
ENSG00000041802	ENST00000265245
ENSG00000041880	ENST00000398755
ENSG00000041982	ENST00000535648
ENSG00000041988	ENST00000054650
ENSG00000042062	ENST00000327979
ENSG00000042088	ENST00000335725
ENSG00000042286	ENST00000307864
ENSG00000042304	ENST00000641887
ENSG00000042317	ENST00000356583
ENSG00000042429	ENST00000639523
ENSG00000042445	ENST00000295802
ENSG00000042493	ENST00000263867
ENSG00000042753	ENST00000263270
ENSG00000042781	ENST00000481786
ENSG00000042813	ENST00000046087
ENSG00000042832	ENST00000522691
ENSG00000042980	ENST00000523236
ENSG00000043039	ENST00000281437
ENSG00000043093	ENST00000632685
ENSG00000043143	ENST00000395003
ENSG00000043355	ENST00000376335
ENSG00000043462	ENST00000521416
ENSG00000043514	ENST00000441669
ENSG00000044090	ENST00000692002
ENSG00000044115	ENST00000302763
ENSG00000044446	ENST00000469485
ENSG00000044459	ENST00000380647
ENSG00000044524	ENST00000336596
ENSG00000044574	ENST00000324460
ENSG00000046604	ENST00000261590
ENSG00000046647	ENST00000398355
ENSG00000046651	ENST00000474705
ENSG00000046653	ENST00000454189
ENSG00000046889	ENST00000288368
ENSG00000047056	ENST00000358220
ENSG00000047188	ENST00000161863
ENSG00000047230	ENST00000359276
ENSG00000047249	ENST00000359530
ENSG00000047315	ENST00000314595
ENSG00000047346	ENST00000568871
ENSG00000047365	ENST00000303965
ENSG00000047410	ENST00000367478
ENSG00000047457	ENST00000479771
ENSG00000047578	ENST00000261588
ENSG00000047579	ENST00000344537
ENSG00000047617	ENST00000682330
ENSG00000047621	ENST00000261250
ENSG00000047634	ENST00000380045
ENSG00000047644	ENST00000380861
ENSG00000047648	ENST00000380736
ENSG00000047849	ENST00000429422
ENSG00000047932	ENST00000052569
ENSG00000047936	ENST00000368507
ENSG00000048028	ENST00000544967
ENSG00000048052	ENST00000406072
ENSG00000048140	ENST00000508164
ENSG00000048162	ENST00000614830
ENSG00000048342	ENST00000515124
ENSG00000048392	ENST00000251810
ENSG00000048405	ENST00000485577
ENSG00000048462	ENST00000053243
ENSG00000048471	ENST00000566228
ENSG00000048540	ENST00000537304
ENSG00000048545	ENST00000372958
ENSG00000048649	ENST00000308488
ENSG00000048707	ENST00000543766
ENSG00000048740	ENST00000417956
ENSG00000048828	ENST00000277165
ENSG00000048991	ENST00000429703
ENSG00000049089	ENST00000372748
ENSG00000049130	ENST00000644744
ENSG00000049167	ENST00000683052
ENSG00000049192	ENST00000381055
ENSG00000049239	ENST00000377403
ENSG00000049245	ENST00000054666
ENSG00000049246	ENST00000361923
ENSG00000049247	ENST00000361696
ENSG00000049249	ENST00000377507
ENSG00000049283	ENST00000268933
ENSG00000049323	ENST00000404525
ENSG00000049449	ENST00000054950
ENSG00000049540	ENST00000252034
ENSG00000049541	ENST00000055077
ENSG00000049618	ENST00000635928
ENSG00000049656	ENST00000320895
ENSG00000049759	ENST00000617539
ENSG00000049768	ENST00000376207
ENSG00000049769	ENST00000055335
ENSG00000049860	ENST00000261416
ENSG00000049883	ENST00000503868
ENSG00000050030	ENST00000616200
ENSG00000050130	ENST00000425728
ENSG00000050165	ENST00000683431
ENSG00000050327	ENST00000056217
ENSG00000050344	ENST00000606261
ENSG00000050393	ENST00000379170
ENSG00000050405	ENST00000552491
ENSG00000050426	ENST00000262055
ENSG00000050438	ENST00000453097
ENSG00000050555	ENST00000462567
ENSG00000050628	ENST00000370924
ENSG00000050730	ENST00000057513
ENSG00000050748	ENST00000452135
ENSG00000050767	ENST00000679888
ENSG00000050820	ENST00000538440
ENSG00000051009	ENST00000529360
ENSG00000051108	ENST00000300302
ENSG00000051128	ENST00000392351
ENSG00000051180	ENST00000532743
ENSG00000051341	ENST00000264233
ENSG00000051382	ENST00000469284
ENSG00000051523	ENST00000261623
ENSG00000051596	ENST00000265097
ENSG00000051620	ENST00000367697
ENSG00000051825	ENST00000606320
ENSG00000052126	ENST00000299275
ENSG00000052344	ENST00000317508
ENSG00000052723	ENST00000060969
ENSG00000052749	ENST00000370992
ENSG00000052795	ENST00000264433
ENSG00000052802	ENST00000261507
ENSG00000052841	ENST00000525135
ENSG00000053108	ENST00000265342
ENSG00000053254	ENST00000345097
ENSG00000053328	ENST00000338882
ENSG00000053371	ENST00000235835
ENSG00000053372	ENST00000330263
ENSG00000053438	ENST00000346199
ENSG00000053501	ENST00000263897
ENSG00000053524	ENST00000492331
ENSG00000053702	ENST00000337508
ENSG00000053747	ENST00000588770
ENSG00000053770	ENST00000431972
ENSG00000053900	ENST00000315368
ENSG00000053918	ENST00000155840
ENSG00000054116	ENST00000373166
ENSG00000054118	ENST00000354618
ENSG00000054148	ENST00000247665
ENSG00000054179	ENST00000355097
ENSG00000054219	ENST00000263636
ENSG00000054267	ENST00000264183
ENSG00000054277	ENST00000490673
ENSG00000054282	ENST00000497459
ENSG00000054356	ENST00000443981
ENSG00000054392	ENST00000367009
ENSG00000054523	ENST00000377093
ENSG00000054611	ENST00000337137
ENSG00000054654	ENST00000458046
ENSG00000054690	ENST00000558214
ENSG00000054793	ENST00000311637
ENSG00000054796	ENST00000371263
ENSG00000054938	ENST00000263671
ENSG00000054965	ENST00000356467
ENSG00000054967	ENST00000064780
ENSG00000054983	ENST00000261304
ENSG00000055044	ENST00000264279
ENSG00000055070	ENST00000492354
ENSG00000055118	ENST00000330883
ENSG00000055130	ENST00000325222
ENSG00000055147	ENST00000522858
ENSG00000055163	ENST00000519663
ENSG00000055208	ENST00000538427
ENSG00000055211	ENST00000367419
ENSG00000055332	ENST00000233057
ENSG00000055483	ENST00000449938
ENSG00000055609	ENST00000684768
ENSG00000055732	ENST00000474447
ENSG00000055917	ENST00000338086
ENSG00000055950	ENST00000318364
ENSG00000055955	ENST00000464000
ENSG00000055957	ENST00000494705
ENSG00000056050	ENST00000393381
ENSG00000056097	ENST00000265069
ENSG00000056277	ENST00000370978
ENSG00000056291	ENST00000506359
ENSG00000056487	ENST00000629843
ENSG00000056558	ENST00000373887
ENSG00000056586	ENST00000357244
ENSG00000056736	ENST00000288167
ENSG00000056972	ENST00000392556
ENSG00000056998	ENST00000398806
ENSG00000057019	ENST00000326840
ENSG00000057149	ENST00000283752
ENSG00000057252	ENST00000367619
ENSG00000057294	ENST00000340811
ENSG00000057593	ENST00000541084
ENSG00000057608	ENST00000380191
ENSG00000057657	ENST00000369089
ENSG00000057663	ENST00000369076
ENSG00000057704	ENST00000261226
ENSG00000057757	ENST00000246151
ENSG00000057935	ENST00000405094
ENSG00000058056	ENST00000679972
ENSG00000058063	ENST00000323116
ENSG00000058085	ENST00000264144
ENSG00000058091	ENST00000380050
ENSG00000058262	ENST00000243253
ENSG00000058272	ENST00000450142
ENSG00000058335	ENST00000558480
ENSG00000058404	ENST00000457475
ENSG00000058453	ENST00000375541
ENSG00000058600	ENST00000565117
ENSG00000058668	ENST00000484746
ENSG00000058673	ENST00000640465
ENSG00000058729	ENST00000511293
ENSG00000058799	ENST00000464950
ENSG00000058804	ENST00000371429
ENSG00000058866	ENST00000265022
ENSG00000059122	ENST00000574985
ENSG00000059145	ENST00000562537
ENSG00000059377	ENST00000448866
ENSG00000059378	ENST00000488726
ENSG00000059573	ENST00000371224
ENSG00000059588	ENST00000462259
ENSG00000059691	ENST00000263985
ENSG00000059728	ENST00000264444
ENSG00000059758	ENST00000261211
ENSG00000059769	ENST00000447096
ENSG00000059804	ENST00000075120
ENSG00000059915	ENST00000611678
ENSG00000060069	ENST00000613122
ENSG00000060138	ENST00000540975
ENSG00000060140	ENST00000075503
ENSG00000060237	ENST00000675631
ENSG00000060339	ENST00000480627
ENSG00000060491	ENST00000290291
ENSG00000060558	ENST00000262958
ENSG00000060566	ENST00000078445
ENSG00000060642	ENST00000686655
ENSG00000060656	ENST00000428026
ENSG00000060688	ENST00000263694
ENSG00000060709	ENST00000261655
ENSG00000060718	ENST00000470170
ENSG00000060749	ENST00000399302
ENSG00000060762	ENST00000360961
ENSG00000060971	ENST00000333167
ENSG00000060982	ENST00000261192
ENSG00000061273	ENST00000548938
ENSG00000061337	ENST00000265801
ENSG00000061455	ENST00000407847
ENSG00000061656	ENST00000679710
ENSG00000061676	ENST00000360982
ENSG00000061794	ENST00000081029
ENSG00000061918	ENST00000264424
ENSG00000061936	ENST00000261674
ENSG00000061938	ENST00000672548
ENSG00000061987	ENST00000551307
ENSG00000062038	ENST00000429102
ENSG00000062096	ENST00000359361
ENSG00000062194	ENST00000264779
ENSG00000062282	ENST00000228027
ENSG00000062370	ENST00000354340
ENSG00000062485	ENST00000351328
ENSG00000062524	ENST00000355166
ENSG00000062582	ENST00000317534
ENSG00000062598	ENST00000452857
ENSG00000062650	ENST00000298767
ENSG00000062716	ENST00000587470
ENSG00000062725	ENST00000083182
ENSG00000062822	ENST00000440232
ENSG00000063015	ENST00000535262
ENSG00000063046	ENST00000262056
ENSG00000063127	ENST00000335875
ENSG00000063169	ENST00000594866
